"r",,"u",,"y",,"fs",
-0.21135,-3.0202,-0.12317,1.0488,0.10728,-0.04469,,
0.61088,-3.1321,0.072668,-0.61483,0.10644,-0.064674,,
0.13797,-2.9692,-0.64732,-1.4512,0.10505,-0.084415,,
-0.97223,-2.5009,-1.1112,-0.41637,0.10367,-0.10396,,
-1.1649,-2.0812,-0.3137,1.6975,0.1011,-0.12339,,
0.079007,-2.0215,1.2588,2.9582,0.096833,-0.14235,,
1.525,-2.0013,2.1151,2.2481,0.090635,-0.16012,,
1.5579,-1.2709,1.4772,0.42635,0.082686,-0.17562,,
0.051948,0.33933,0.22519,-0.62656,0.073051,-0.18822,,
-1.4655,1.8234,-0.15478,-0.035247,0.061701,-0.19959,,
-1.5592,1.8197,0.60364,1.2461,0.048565,-0.21117,,
-0.48979,0.18135,1.1359,1.6229,0.033541,-0.22147,,
0.21004,-1.5274,0.025363,0.63956,0.017391,-0.22892,,
-0.34677,-1.4525,-2.3466,-0.68038,0.0011857,-0.23309,,
-1.3067,0.57398,-3.8796,-1.1842,-0.01461,-0.23383,,
-1.1335,2.7162,-2.9729,-0.92885,-0.031459,-0.23244,,
0.45176,2.9816,-0.20706,-0.9118,-0.050201,-0.23006,,
2.0106,1.2945,2.4638,-1.6174,-0.068754,-0.22571,,
2.0188,-0.48419,3.0945,-2.2601,-0.086143,-0.2187,,
0.66963,-0.60925,1.3242,-1.6977,-0.10182,-0.20932,,
-0.33635,0.72234,-1.1175,0.071373,-0.11373,-0.19867,,
0.16497,1.7674,-2.4304,1.6589,-0.12285,-0.18738,,
1.3193,1.284,-2.0474,1.6781,-0.13201,-0.17473,,
1.1528,-0.17416,-0.61465,0.23185,-0.14113,-0.15968,,
-1.0803,-1.1221,0.91287,-1.2068,-0.14975,-0.14249,,
-3.7714,-0.9871,1.8899,-1.3987,-0.15581,-0.12479,,
-4,-0.67045,1.9794,-0.54515,-0.15798,-0.10827,,
-2.147,-1.2165,1.1119,0.17469,-0.15678,-0.093215,,
1.3195,-2.3122,-0.36997,0.080757,-0.1523,-0.07863,,
3.3003,-2.5296,-1.591,-0.27993,-0.14676,-0.063732,,
2.5485,-1.074,-1.6548,0.078142,-0.13976,-0.049037,,
0.092476,1.0718,-0.45757,1.2636,-0.13162,-0.035714,,
-2.0258,2.0461,1.0789,2.2811,-0.1225,-0.024442,,
-2.5434,1.0773,1.7706,2.1234,-0.11106,-0.014608,,
-1.593,-0.71799,1.2737,0.87806,-0.096799,-0.0050655,,
-0.032252,-1.5957,0.37724,-0.38632,-0.080589,0.0042636,,
1.3724,-1.0251,0.1015,-0.79017,-0.063432,0.012465,,
2.121,-0.0434,0.62783,-0.49682,-0.045249,0.018892,,
1.8521,0.15199,1.1933,-0.34534,-0.026158,0.023581,,
0.53905,-0.37252,1.0336,-0.7826,-0.0062763,0.026947,,
-1.1436,-0.48799,0.30409,-1.3407,0.014369,0.030116,,
-2.0249,0.51203,-0.062942,-1.1974,0.035563,0.033211,,
-1.3782,1.9614,0.61726,-0.12037,0.056919,0.035463,,
0.29567,2.513,1.9729,1.2502,0.077774,0.036833,,
1.6225,1.626,2.8585,2.0239,0.097323,0.037993,,
1.6398,0.12634,2.428,1.8824,0.11565,0.039995,,
0.69831,-0.74135,0.93365,1.2823,0.13426,0.042506,,
-0.00061525,-0.62388,-0.48524,0.91196,0.15285,0.044566,,
0.27401,-0.2691,-0.82118,1.0409,0.16962,0.046583,,
1.0513,-0.51004,-0.060015,1.3555,0.18424,0.049119,,
1.2889,-1.2603,0.82406,1.3468,0.19637,0.052081,,
0.61811,-1.6304,0.69668,0.8224,0.20598,0.055607,,
-0.19551,-0.94706,-0.7587,0.099123,0.21454,0.059666,,
-0.069483,0.49701,-2.712,-0.25434,0.22241,0.06424,,
1.2008,1.7304,-3.8136,0.087,0.22799,0.069039,,
2.6401,2.0376,-3.3224,0.88251,0.22968,0.073851,,
2.9828,1.5491,-1.7155,1.4628,0.22735,0.079108,,
1.8523,0.97977,-0.25515,1.2735,0.22283,0.085437,,
0.10426,0.89286,-0.021249,0.3882,0.21647,0.092593,,
-0.93541,1.2327,-1.0211,-0.50124,0.2074,0.099462,,
-0.61525,1.4806,-2.1918,-0.66491,0.19597,0.10596,,
0.50163,1.1953,-2.4675,0.010613,0.18173,0.1125,,
1.1188,0.43714,-1.628,0.94603,0.16442,0.11904,,
0.29817,-0.25551,-0.25595,1.4529,0.14443,0.12586,,
-1.7146,-0.30613,0.96802,1.3594,0.12214,0.13307,,
-3.6133,0.38266,1.7709,1.042,0.097898,0.14081,,
-4,1.268,2.1454,0.85708,0.072104,0.14893,,
-2.7987,1.5647,1.9808,0.68861,0.045206,0.15735,,
-0.91309,0.93133,1.1532,0.15713,0.017657,0.16602,,
0.096825,-0.16854,0.044302,-0.76319,-0.0099948,0.17483,,
-0.41502,-0.8316,-0.39381,-1.5072,-0.037273,0.18364,,
-1.7582,-0.52495,0.52476,-1.4411,-0.063971,0.19204,,
-2.6397,0.43835,2.2333,-0.59348,-0.090115,0.19944,,
-2.3345,1.2487,3.0509,0.27974,-0.1146,0.20551,,
-1.1388,1.4088,1.6803,0.44107,-0.13557,0.21094,,
0.19694,1.1329,-1.3048,-0.039616,-0.15241,0.21624,,
1.2409,0.93051,-3.691,-0.36319,-0.16632,0.22096,,
1.9674,0.90403,-3.8553,0.064283,-0.17794,0.2244,,
2.2724,0.62676,-2.2536,0.88636,-0.1877,0.22601,,
1.8143,-0.23342,-0.23623,1.0873,-0.19642,0.22628,,
0.58384,-1.3123,0.82058,0.085267,-0.20165,0.22621,,
-0.55851,-1.7724,0.55589,-1.507,-0.20283,0.22601,,
-0.3906,-1.1907,0.32155,-2.2964,-0.20148,0.225,,
1.3245,-0.10558,0.92769,-1.3791,-0.19668,0.22301,,
3.151,0.47852,1.7436,0.7594,-0.18977,0.21952,,
3.0598,0.15016,1.5817,2.5485,-0.1816,0.21388,,
0.45543,-0.46052,0.20338,2.5682,-0.17136,0.20823,,
-2.975,-0.3949,-1.2997,0.73553,-0.15919,0.20469,,
-4,0.5036,-1.7986,-1.6159,-0.14592,0.20189,,
-3.6515,1.2981,-1.371,-2.8012,-0.1321,0.19818,,
-1.2058,0.89351,-1.1314,-2.0821,-0.11894,0.19353,,
0.46445,-0.73687,-1.8221,-0.19072,-0.10655,0.18698,,
0.5402,-2.3249,-2.9364,1.3127,-0.093318,0.17813,,
0.078158,-2.3819,-3.3131,1.2898,-0.079985,0.16976,,
0.42998,-0.58355,-2.4999,-0.023295,-0.067899,0.16297,,
1.5331,1.8316,-1.225,-1.2429,-0.057304,0.15688,,
2.0512,3.0233,-0.54208,-1.1062,-0.048849,0.14985,,
1.0786,2.0362,-0.73842,0.3969,-0.042716,0.13976,,
-0.70233,-0.43259,-1.2237,2.0305,-0.039083,0.12771,,
-1.7876,-2.5828,-1.4123,2.491,-0.038061,0.1155,,
-1.5799,-2.9094,-1.3703,1.6391,-0.039707,0.10363,,
-1.001,-1.3486,-1.4638,0.58281,-0.043945,0.092774,,
-1.3013,0.71772,-1.6297,0.4743,-0.050525,0.083091,,
-2.5369,1.609,-1.3303,1.3159,-0.059336,0.072475,,
-3.5158,0.74131,-0.31132,2.0184,-0.070052,0.06086,,
-3.2086,-0.89462,0.83995,1.6297,-0.082413,0.049837,,
-1.9035,-1.6294,1.1402,0.39147,-0.096057,0.040662,,
-0.80096,-0.63932,0.24087,-0.5505,-0.1105,0.033696,,
-0.65442,1.292,-1.1431,-0.43617,-0.12541,0.027664,,
-1.1112,2.5323,-1.9367,0.28994,-0.14062,0.021977,,
-1.4025,2.1838,-1.7207,0.57189,-0.15608,0.016392,,
-1.3488,0.92214,-0.96642,0.046909,-0.17156,0.011903,,
-1.3908,0.23039,-0.38274,-0.49291,-0.18665,0.0096727,,
-1.7313,0.8173,-0.24139,-0.066085,-0.20115,0.0092084,,
-1.8455,1.8989,-0.3496,1.2055,-0.21488,0.0098285,,
-1.0986,2.1115,-0.47428,2.0483,-0.22768,0.011366,,
0.29608,1.0441,-0.5715,1.3991,-0.2395,0.014096,,
1.2575,-0.31472,-0.62717,-0.32212,-0.25016,0.017969,,
0.90799,-0.70941,-0.57236,-1.5077,-0.25955,0.022693,,
-0.47885,-0.028461,-0.50865,-0.99867,-0.26735,0.028537,,
-1.7483,0.63424,-0.82481,0.70651,-0.27332,0.035446,,
-2.0196,0.33791,-1.7357,2.0041,-0.2777,0.043522,,
-1.4201,-0.52859,-2.6581,1.8244,-0.28106,0.052884,,
-0.69999,-0.67966,-2.3951,0.59736,-0.28377,0.063645,,
-0.36496,0.47458,-0.33951,-0.44759,-0.28539,0.075733,,
-0.35652,1.9458,2.471,-0.73605,-0.28569,0.088755,,
-0.43436,2.124,3.8482,-0.78437,-0.28501,0.10253,,
-0.54158,0.58534,2.4299,-1.2372,-0.28335,0.11676,,
-0.68214,-1.2968,-0.77699,-1.7833,-0.28079,0.13115,,
-0.70086,-1.7079,-3.1585,-1.4185,-0.27765,0.1453,,
-0.50299,-0.27541,-2.9538,0.19725,-0.27436,0.1586,,
-0.44569,1.5772,-0.91317,1.9425,-0.27138,0.17081,,
-1.1151,2.1645,0.62533,2.1505,-0.26869,0.18263,,
-2.4337,1.2269,0.16739,0.43265,-0.26618,0.19472,,
-3.1982,-0.058035,-1.501,-1.6667,-0.26376,0.20615,,
-2.0208,-0.59902,-2.3191,-2.1195,-0.26148,0.2159,,
0.99078,-0.57325,-1.3189,-0.53933,-0.25966,0.22377,,
3.7466,-0.90349,0.48963,1.3205,-0.25848,0.22857,,
3.8552,-1.7788,1.4165,1.3051,-0.25784,0.23026,,
1.0229,-2.1542,0.94556,-0.88603,-0.25754,0.2318,,
-2.4129,-0.98408,0.099534,-3.2504,-0.25744,0.23419,,
-3.6311,1.2335,-0.011254,-3.5588,-0.25754,0.23509,,
-2.0535,2.5773,0.46639,-1.5996,-0.25793,0.23275,,
0.22026,1.6263,0.46449,0.82181,-0.25864,0.22676,,
0.72835,-0.85898,-0.5423,1.4359,-0.25946,0.21863,,
-0.80784,-2.4928,-1.7725,-0.41637,-0.26002,0.21094,,
-2.4192,-1.6723,-2.0253,-2.9903,-0.25997,0.20415,,
-2.2128,0.67337,-1.0833,-4.1296,-0.25985,0.19603,,
-0.39329,1.9412,0.057063,-3.3152,-0.26046,0.18445,,
1.191,0.52824,0.33542,-1.6338,-0.26105,0.16972,,
1.2377,-2.4495,-0.20478,-0.29975,-0.26102,0.15448,,
0.30005,-4,-0.5528,0.11275,-0.2607,0.13901,,
-0.16497,-3.1082,0.028697,-0.035741,-0.26012,0.12227,,
0.32753,-0.21791,1.1769,0.092399,-0.25947,0.1049,,
0.7915,1.7008,1.8746,0.64127,-0.25874,0.086443,,
0.14078,0.89355,1.5249,1.1121,-0.25753,0.066967,,
-1.3486,-1.8525,0.43086,0.99042,-0.25467,0.046653,,
-2.2829,-4,-0.70618,0.25861,-0.24934,0.026084,,
-1.7674,-4,-1.4848,-0.70906,-0.24284,0.0060296,,
-0.42904,-2.7453,-1.9238,-1.5266,-0.23634,-0.013788,,
0.34425,-0.93872,-2.099,-1.966,-0.22945,-0.034085,,
-0.012256,-0.11617,-1.9537,-1.8879,-0.22245,-0.054766,,
-0.69264,-0.15367,-1.5391,-1.2107,-0.21468,-0.074684,,
-0.55623,-0.1846,-1.1849,-0.092507,-0.20568,-0.093588,,
0.55225,0.28662,-1.1913,0.97422,-0.19596,-0.11163,,
1.6914,0.95089,-1.3812,1.4095,-0.1859,-0.12863,,
1.8924,1.1883,-1.196,1.0274,-0.17618,-0.14467,,
1.0803,0.74092,-0.40403,0.25552,-0.16716,-0.15962,,
-0.092198,-0.15288,0.40519,-0.19825,-0.15924,-0.17349,,
-1.0531,-1.1005,0.26276,0.072779,-0.15265,-0.18643,,
-1.7079,-1.8308,-1.1113,0.8614,-0.14739,-0.19845,,
-2.1299,-2.1506,-2.7911,1.5675,-0.1436,-0.20936,,
-2.2155,-1.8553,-3.3816,1.7009,-0.14143,-0.21884,,
-1.8643,-0.89079,-2.3098,1.2243,-0.14108,-0.22622,,
-1.3489,0.39042,-0.32682,0.54477,-0.14254,-0.23117,,
-1.1729,1.3057,1.2291,0.24358,-0.14565,-0.23414,,
-1.4451,1.3416,1.6555,0.7319,-0.15017,-0.23526,,
-1.6013,0.62572,1.4239,1.9581,-0.1559,-0.23423,,
-1.0143,-0.14198,1.5341,3.3136,-0.16264,-0.23045,,
0.11098,-0.27549,2.4361,3.9094,-0.17031,-0.2234,,
0.69432,0.34242,3.5966,3.1957,-0.17871,-0.21338,,
-0.157,1.2274,4.1265,1.5075,-0.18724,-0.20051,,
-2.0657,1.7382,3.7637,-0.050772,-0.1944,-0.18463,,
-3.5378,1.5587,2.5346,-0.44425,-0.19855,-0.16601,,
-3.3091,0.86989,0.27776,0.38112,-0.20127,-0.14485,,
-1.5194,0.20908,-2.1737,1.4415,-0.20333,-0.12148,,
0.48571,0.17259,-3.5066,1.6483,-0.20269,-0.096121,,
1.4724,1.0628,-3.3299,0.84766,-0.1995,-0.06903,,
1.3846,2.5881,-1.8784,-0.075545,-0.19344,-0.040549,,
1.1734,3.8666,0.024351,-0.16876,-0.18434,-0.011187,,
1.7349,3.9424,1.4331,0.58769,-0.17261,0.018531,,
3.0825,2.5783,1.8799,1.2877,-0.15786,0.048233,,
4,0.62538,1.605,1.0947,-0.13971,0.077553,,
4,-0.55076,1.2172,0.10044,-0.11879,0.10624,,
3.8915,-0.23049,1.0927,-0.86361,-0.096057,0.13395,,
1.7507,0.99313,1.1656,-1.1657,-0.071724,0.16015,,
-0.8788,1.778,1.1156,-0.96797,-0.046331,0.18388,,
-3.0242,1.3443,0.74522,-0.81883,-0.020133,0.2036,,
-3.8263,0.21383,0.15273,-0.83164,0.0064364,0.21906,,
-3.0165,-0.39827,-0.33878,-0.50811,0.032661,0.23181,,
-1.1529,0.10347,-0.37927,0.58053,0.057143,0.24123,,
0.70125,1.0857,0.18418,2.0788,0.078752,0.24625,,
1.6995,1.4119,1.1347,3.0331,0.097857,0.24723,,
1.7404,0.66383,1.89,2.8563,0.11509,0.2446,,
1.3516,-0.49167,1.815,1.9751,0.13009,0.23997,,
1.1042,-1.1295,0.72849,1.3995,0.14353,0.23317,,
1.145,-1.0646,-0.84561,1.6503,0.15568,0.22278,,
1.2186,-0.87065,-2.0203,2.2189,0.16452,0.21013,,
1.0204,-0.9818,-2.2696,2.1323,0.16991,0.19663,,
0.48738,-1.041,-1.8142,0.96642,0.17285,0.18279,,
-0.16121,-0.33106,-1.2677,-0.73828,0.17285,0.16968,,
-0.5509,1.2214,-0.95462,-2.0105,0.17044,0.15764,,
-0.34705,2.7218,-0.64403,-2.268,0.16673,0.1471,,
0.50117,3.141,-0.0068297,-1.6039,0.16203,0.13816,,
1.5758,2.405,0.77245,-0.46565,0.15604,0.13063,,
2.1176,1.4907,1.038,0.70065,0.14897,0.1241,,
1.5529,1.3857,0.37521,1.5088,0.14122,0.11905,,
0.041175,2.0501,-0.8168,1.6113,0.1331,0.11676,,
-1.546,2.4963,-1.6006,0.89155,0.12415,0.11689,,
-2.3259,1.849,-1.3564,-0.26941,0.11331,0.11835,,
-2.1454,0.21611,-0.30808,-1.1019,0.10045,0.12079,,
-1.5875,-1.4758,0.80504,-1.053,0.086731,0.12374,,
-1.2381,-2.3511,1.4159,-0.32763,0.072713,0.12634,,
-1.0529,-2.1864,1.454,0.30303,0.057897,0.12845,,
-0.56044,-1.288,1.113,0.26416,0.04251,0.13119,,
0.35974,-0.070803,0.55114,-0.27936,0.02668,0.13515,,
1.1087,1.0845,-0.013588,-0.70182,0.01074,0.13995,,
0.92978,1.7315,-0.15655,-0.70808,-0.0050778,0.14459,,
-0.20487,1.4723,0.45163,-0.64952,-0.020986,0.14853,,
-1.4283,0.37268,1.4618,-0.9872,-0.036388,0.15229,,
-1.7671,-0.85009,1.8066,-1.5557,-0.050233,0.15601,,
-1.0239,-1.317,0.62499,-1.5567,-0.061766,0.1597,,
0.17343,-0.79468,-1.648,-0.40106,-0.071217,0.16332,,
1.0855,0.060437,-3.3327,1.5033,-0.078722,0.16618,,
1.4462,0.3748,-2.9631,2.9236,-0.083929,0.16811,,
1.3642,-0.050384,-0.74807,2.8261,-0.087798,0.17055,,
0.93538,-0.62569,1.5494,1.2651,-0.091184,0.17456,,
0.24048,-0.75467,2.2139,-0.7283,-0.092129,0.17881,,
-0.3319,-0.56677,1.155,-2.0209,-0.088329,0.18245,,
-0.15267,-0.70382,-0.19837,-2.137,-0.080753,0.18583,,
0.928,-1.3988,-0.56537,-1.3309,-0.07167,0.18822,,
2.0139,-1.9746,-0.025376,-0.17,-0.061943,0.18849,,
1.7283,-1.4504,0.39292,0.78589,-0.051415,0.18693,,
-0.34662,0.34461,0.11192,1.1075,-0.040991,0.18538,,
-2.8835,2.382,-0.33809,0.64199,-0.030018,0.18454,,
-3.7987,3.2483,-0.12844,-0.28298,-0.017608,0.18401,,
-2.2361,2.3535,0.69187,-0.88127,-0.0050972,0.18295,,
0.50916,0.35701,1.1361,-0.41952,0.0069136,0.18045,,
2.2025,-1.4882,0.43942,1.0744,0.018536,0.17712,,
1.806,-2.3031,-0.96694,2.6192,0.030102,0.17335,,
0.29837,-1.9857,-1.8326,2.9376,0.041123,0.16973,,
-0.60287,-0.95343,-1.4008,1.4942,0.050036,0.16683,,
-0.29197,0.23936,-0.14807,-1.0226,0.056208,0.16469,,
0.34848,1.0514,0.81522,-3.2201,0.060353,0.16333,,
0.28422,1.0531,0.88849,-4.0385,0.063777,0.16228,,
-0.35196,0.21786,0.43717,-3.4479,0.067252,0.15999,,
-0.53054,-0.82605,0.18837,-2.2007,0.070716,0.15572,,
0.24744,-1.0754,0.4025,-1.0612,0.073066,0.15152,,
1.1887,0.02151,0.75522,-0.48494,0.073908,0.14759,,
1.0755,1.9085,0.80023,-0.48866,0.074259,0.14213,,
-0.27559,3.1864,0.35085,-0.64528,0.074568,0.13538,,
-1.7095,2.7029,-0.55391,-0.49494,0.075321,0.12665,,
-1.942,0.51102,-1.724,0.1496,0.076708,0.11575,,
-0.8791,-2.1736,-2.6683,0.97754,0.078254,0.10265,,
0.40906,-3.9302,-2.5843,1.3218,0.078793,0.087419,,
0.89992,-4,-0.92857,0.68934,0.077774,0.070353,,
0.57543,-3.089,1.7363,-0.70389,0.076722,0.051708,,
0.16727,-1.7364,3.6999,-1.9389,0.075832,0.031788,,
0.21458,-0.79607,3.5042,-2.1113,0.074208,0.010539,,
0.5908,-0.52275,1.3858,-1.1588,0.073246,-0.011823,,
0.84711,-0.68889,-1.0553,0.032481,0.073791,-0.034865,,
0.7041,-0.79199,-1.947,0.3975,0.073531,-0.058086,,
0.094513,-0.39215,-0.77035,-0.31799,0.07107,-0.081072,,
-0.99246,0.5101,0.86263,-1.2759,0.067574,-0.10351,,
-2.3354,1.3349,1.1426,-1.304,0.062414,-0.12507,,
-3.1569,1.2988,-0.25718,0.05825,0.057827,-0.14566,,
-2.4223,0.13862,-2.0766,2.1618,0.055551,-0.16536,,
0.098351,-1.4752,-2.9708,3.7599,0.053614,-0.18338,,
3.0797,-2.3711,-2.8057,4.051,0.050341,-0.19796,,
4,-1.8915,-2.3348,3.1561,0.045245,-0.20828,,
2.9653,-0.54206,-2.0708,1.5673,0.039999,-0.21577,,
0.010183,0.42398,-1.7654,0.0088316,0.034911,-0.22075,,
-2.0066,0.15947,-1.0891,-0.83749,0.028979,-0.22192,,
-1.6416,-0.97529,-0.42428,-0.98279,0.02217,-0.21935,,
0.21718,-1.7295,-0.59673,-0.77715,0.01422,-0.21286,,
1.3949,-1.0812,-1.7663,-0.58371,0.0050073,-0.20235,,
0.65693,0.88731,-2.9402,-0.48099,-0.0053985,-0.18801,,
-1.2562,3.0905,-2.8942,-0.19766,-0.017194,-0.17006,,
-2.7143,4,-1.5137,0.59066,-0.030349,-0.14895,,
-2.965,4,0.046164,1.8601,-0.044747,-0.1251,,
-2.582,2.5759,0.58017,3.0482,-0.060031,-0.099033,,
-2.3547,0.83189,0.087005,3.3977,-0.07599,-0.071146,,
-2.2311,-0.45718,-0.39227,2.5552,-0.092391,-0.041804,,
-1.6454,-0.98391,-0.15635,0.9485,-0.10908,-0.011489,,
-0.65018,-0.92947,0.28705,-0.46876,-0.12591,0.019241,,
-0.19821,-0.7196,-0.066104,-0.88143,-0.14267,0.049867,,
-1.0463,-0.64354,-1.3171,-0.15173,-0.15905,0.079877,,
-2.6233,-0.58767,-2.2952,1.1755,-0.17484,0.10888,,
-3.3995,-0.13469,-1.7716,2.3129,-0.19,0.13662,,
-2.4959,0.98271,0.11883,2.7289,-0.20457,0.16298,,
-0.68024,2.4584,1.873,2.3934,-0.21846,0.18782,,
0.46607,3.4763,2.0556,1.6928,-0.23131,0.21092,,
0.27289,3.3067,0.68567,1.1441,-0.24288,0.23214,,
-0.41337,1.9411,-0.91574,1.0664,-0.25315,0.25136,,
-0.41799,0.18007,-1.5612,1.3966,-0.26219,0.26844,,
0.25623,-0.92606,-1.2766,1.7722,-0.27023,0.28344,,
