"r",,"u",,"y",,"fs",
-0.38997,0.12227,-1.2327,0.18591,0.045601,0.067577,,
-0.31127,0.12668,-0.76535,0.19116,0.054421,0.070415,,
0.24371,0.13116,0.054973,0.19659,0.060439,0.073377,,
0.48512,0.13571,0.53884,0.20199,0.063651,0.076353,,
-0.093858,0.14035,0.39204,0.20731,0.064202,0.079401,,
-1.0661,0.14505,-0.045185,0.21289,0.062235,0.082518,,
-1.5315,0.14983,-0.28555,0.21871,0.058029,0.085712,,
-1.1488,0.15469,-0.23934,0.22426,0.051439,0.088987,,
-0.50852,0.15962,-0.16639,0.22961,0.042162,0.092294,,
-0.41545,0.16462,-0.20975,0.23525,0.030604,0.095653,,
-0.94473,0.1697,-0.1887,0.24126,0.017522,0.099082,,
-1.3822,0.17485,0.066332,0.24734,0.0033014,0.10256,,
-1.084,0.18008,0.33216,0.25327,-0.011758,0.10607,,
-0.21683,0.18537,0.16198,0.25916,-0.027281,0.10966,,
0.46345,0.19074,-0.51753,0.26538,-0.042878,0.11332,,
0.46918,0.19618,-1.1374,0.27159,-0.058291,0.11701,,
0.040725,0.20169,-0.99283,0.27777,-0.073698,0.12076,,
-0.26273,0.20727,-0.028332,0.28414,-0.089248,0.12456,,
-0.24321,0.21293,1.0077,0.29027,-0.10442,0.12835,,
-0.16701,0.21865,1.2653,0.29652,-0.11851,0.13223,,
-0.25657,0.22444,0.6387,0.30317,-0.13093,0.13616,,
-0.32674,0.23031,-0.1826,0.3097,-0.14104,0.1401,,
-0.081162,0.23624,-0.50055,0.31642,-0.1492,0.14409,,
0.34398,0.24224,-0.31341,0.32321,-0.15659,0.1481,,
0.38944,0.24831,-0.19832,0.32981,-0.16332,0.15213,,
-0.25584,0.25444,-0.54968,0.33641,-0.16873,0.1562,,
-1.1243,0.26064,-1.0967,0.34328,-0.17232,0.16025,,
-1.3239,0.26691,-1.2371,0.35028,-0.17415,0.16433,,
-0.48633,0.27325,-0.75463,0.35722,-0.17497,0.16839,,
0.75506,0.27965,-0.089115,0.36445,-0.17518,0.17243,,
1.356,0.28611,0.12612,0.37154,-0.17458,0.17647,,
0.90948,0.29264,-0.29447,0.37862,-0.17326,0.18045,,
0.0023525,0.29923,-0.94948,0.3858,-0.17144,0.18439,,
-0.48835,0.30588,-1.3089,0.39315,-0.16944,0.18832,,
-0.3382,0.3126,-1.192,0.40057,-0.16781,0.19217,,
-0.10636,0.31938,-0.77508,0.40773,-0.1668,0.19594,,
-0.37476,0.32621,-0.2691,0.41487,-0.1663,0.19965,,
-1.0263,0.33311,0.274,0.42221,-0.16631,0.20327,,
-1.3886,0.34006,0.82945,0.42987,-0.16688,0.20679,,
-1.0305,0.34708,1.2053,0.43749,-0.16795,0.21023,,
-0.26884,0.35414,1.1262,0.44503,-0.16934,0.21359,,
0.16959,0.36127,0.53528,0.45246,-0.1705,0.21681,,
-0.0967,0.36845,-0.24685,0.46002,-0.17119,0.21996,,
-0.77578,0.37568,-0.73489,0.46772,-0.17186,0.22296,,
-1.2842,0.38297,-0.68378,0.47545,-0.17293,0.22584,,
-1.3213,0.39031,-0.26802,0.4834,-0.17439,0.22864,,
-1.0078,0.3977,0.10661,0.4913,-0.17581,0.23129,,
-0.56684,0.40514,0.14292,0.49918,-0.17662,0.23385,,
-0.04639,0.41263,-0.14897,0.50715,-0.17643,0.23628,,
0.57873,0.42017,-0.50301,0.51501,-0.1753,0.23858,,
1.1436,0.42776,-0.59018,0.52287,-0.17374,0.24075,,
1.2983,0.43538,-0.21594,0.53076,-0.17232,0.24286,,
0.84436,0.44306,0.54055,0.53864,-0.17109,0.24487,,
0.012993,0.45078,1.3087,0.54652,-0.16959,0.24675,,
-0.6678,0.45853,1.6131,0.5545,-0.16724,0.24855,,
-0.80754,0.46633,1.2255,0.56265,-0.16349,0.25023,,
-0.45483,0.47417,0.40926,0.57097,-0.15826,0.25186,,
0.00085622,0.48205,-0.22246,0.57899,-0.15205,0.25337,,
0.17831,0.48996,-0.20253,0.58696,-0.14544,0.2548,,
-0.029314,0.49791,0.35848,0.59534,-0.13847,0.25619,,
-0.43353,0.50589,0.8548,0.60342,-0.13082,0.25749,,
-0.69663,0.5139,0.74527,0.61144,-0.12175,0.25877,,
-0.52269,0.52194,0.057079,0.61961,-0.11053,0.25995,,
0.15523,0.53001,-0.6597,0.62773,-0.097576,0.26111,,
1.0568,0.53811,-0.87093,0.63575,-0.083663,0.26219,,
1.649,0.54623,-0.53987,0.64401,-0.069483,0.26325,,
1.5076,0.55438,-0.082548,0.65235,-0.055519,0.26431,,
0.71151,0.56255,0.090164,0.6606,-0.04159,0.26527,,
-0.1321,0.57074,-0.068387,0.66868,-0.027136,0.26624,,
-0.36501,0.57895,-0.2954,0.67667,-0.012387,0.26716,,
0.12802,0.58717,-0.35625,0.68489,0.0018892,0.26804,,
0.7949,0.59541,-0.2499,0.69302,0.014975,0.26893,,
0.92925,0.60366,-0.10706,0.70103,0.02635,0.26977,,
0.33744,0.61192,0.0080354,0.70928,0.03617,0.2706,,
-0.50153,0.62019,0.126,0.71738,0.044603,0.27141,,
-0.92702,0.62847,0.23506,0.72539,0.05159,0.27221,,
-0.71762,0.63675,0.2189,0.73361,0.057099,0.27301,,
-0.22318,0.64503,0.00035942,0.74168,0.061049,0.27378,,
0.059944,0.65331,-0.28004,0.7495,0.063407,0.27452,,
-0.031151,0.66159,-0.31724,0.75744,0.064133,0.27527,,
-0.27213,0.66987,0.066624,0.76539,0.063207,0.276,,
-0.3833,0.67814,0.68766,0.77322,0.060847,0.2767,,
-0.31323,0.6864,1.0998,0.78107,0.057462,0.27743,,
-0.18896,0.69465,0.96807,0.78888,0.053801,0.27813,,
-0.087792,0.70289,0.35925,0.79672,0.050354,0.27881,,
0.036442,0.71111,-0.32676,0.80458,0.047113,0.27948,,
0.20173,0.71931,-0.7013,0.81229,0.043706,0.28014,,
0.27607,0.72749,-0.68246,0.81979,0.039867,0.2808,,
0.10352,0.73565,-0.48022,0.8275,0.035562,0.28145,,
-0.24851,0.74378,-0.33509,0.83512,0.03124,0.28205,,
-0.45079,0.75188,-0.29425,0.84247,0.027453,0.28267,,
-0.19915,0.75995,-0.21523,0.84976,0.024275,0.28329,,
0.44617,0.76798,0.035309,0.85726,0.021482,0.28387,,
1.0442,0.77598,0.39364,0.86471,0.018746,0.28446,,
1.1337,0.78394,0.61138,0.87177,0.01603,0.28503,,
0.63114,0.79185,0.46415,0.87878,0.013554,0.28557,,
-0.11343,0.79972,-0.020854,0.88569,0.01149,0.2861,,
-0.63704,0.80754,-0.52321,0.8925,0.00971,0.28664,,
-0.73787,0.81531,-0.65249,0.89943,0.0077736,0.28718,,
-0.56706,0.82302,-0.28355,0.9064,0.0052871,0.28771,,
-0.40356,0.83068,0.2778,0.91296,0.0022532,0.28821,,
-0.3675,0.83827,0.47785,0.91928,-0.00077531,0.28872,,
-0.34145,0.8458,-0.040713,0.92572,-0.0032262,0.28918,,
-0.14193,0.85326,-1.0776,0.9322,-0.0049466,0.28964,,
0.24559,0.86065,-1.948,0.93884,-0.0066005,0.2901,,
0.59528,0.86797,-1.9834,0.94507,-0.0091868,0.29055,,
0.60824,0.87521,-1.0683,0.95074,-0.013121,0.291,,
0.18717,0.88237,0.23024,0.9567,-0.0177,0.29142,,
-0.41852,0.88945,1.067,0.96276,-0.022393,0.29185,,
-0.75519,0.89644,0.95925,0.96841,-0.027493,0.29226,,
-0.52708,0.90334,0.14404,0.97366,-0.032721,0.29267,,
0.104,0.91014,-0.66639,0.97889,-0.037729,0.29306,,
0.56922,0.91685,-0.89965,0.98427,-0.043253,0.29345,,
0.32183,0.92346,-0.56943,0.98961,-0.050358,0.29382,,
-0.67129,0.92996,-0.19447,0.99469,-0.058709,0.29419,,
-1.8068,0.93635,-0.27034,0.99949,-0.067298,0.29457,,
-2.256,0.94263,-0.79489,1.0041,-0.075881,0.29492,,
-1.6158,0.9488,-1.2667,1.0086,-0.084565,0.29528,,
-0.26457,0.95485,-1.1755,1.013,-0.093477,0.29564,,
0.90063,0.96077,-0.5046,1.017,-0.10287,0.29597,,
1.1503,0.96657,0.24179,1.0209,-0.11259,0.2963,,
0.47105,0.97224,0.50597,1.0248,-0.12239,0.29661,,
-0.47729,0.97778,0.20985,1.0286,-0.13213,0.29692,,
-0.94721,0.98317,-0.18438,1.0321,-0.14155,0.29723,,
-0.72317,0.98843,-0.16288,1.0354,-0.15066,0.29751,,
-0.24417,0.99354,0.30626,1.0386,-0.15963,0.2978,,
-0.14051,0.9985,0.74371,1.0416,-0.16855,0.29809,,
-0.617,1.0033,0.67281,1.0445,-0.17686,0.29836,,
-1.2529,1.008,0.15363,1.0469,-0.18398,0.29862,,
-1.4064,1.0125,-0.23712,1.0492,-0.18961,0.29892,,
-0.8426,1.0168,0.026115,1.0515,-0.19413,0.29917,,
0.021071,1.0209,0.87495,1.0534,-0.19802,0.29942,,
0.50412,1.0249,1.6833,1.0548,-0.2009,0.29965,,
0.31688,1.0287,1.8435,1.0561,-0.20184,0.2999,,
-0.1695,1.0324,1.2983,1.0575,-0.19984,0.30015,,
-0.31828,1.0358,0.5345,1.0587,-0.19511,0.30036,,
0.10641,1.0391,0.099256,1.0595,-0.18848,0.30058,,
0.69054,1.0421,0.14667,1.06,-0.18003,0.3008,,
0.81022,1.045,0.41413,1.0605,-0.1694,0.30099,,
0.31244,1.0477,0.54343,1.0606,-0.1567,0.30122,,
-0.28024,1.0502,0.3795,1.0606,-0.1417,0.3014,,
-0.27266,1.0524,0.013947,1.0603,-0.12433,0.30158,,
0.5001,1.0545,-0.35179,1.0596,-0.10501,0.30176,,
1.4879,1.0563,-0.53612,1.0587,-0.084166,0.30192,,
1.9371,1.0579,-0.45487,1.0576,-0.062358,0.30212,,
1.5709,1.0593,-0.18268,1.0562,-0.040231,0.3023,,
0.7753,1.0605,0.036492,1.0544,-0.018106,0.30244,,
0.176,1.0614,-0.065276,1.0524,0.0040639,0.30258,,
0.083478,1.0622,-0.51062,1.0501,0.026055,0.30269,,
0.32931,1.0626,-0.95831,1.0478,0.047201,0.30284,,
0.53914,1.0629,-0.95138,1.045,0.066618,0.30296,,
0.47847,1.0628,-0.36217,1.0419,0.083513,0.30307,,
0.1628,1.0626,0.43113,1.0387,0.097675,0.30319,,
-0.24216,1.0621,0.88105,1.0352,0.10946,0.3033,,
-0.53892,1.0613,0.81047,1.0313,0.11936,0.30339,,
-0.57137,1.0603,0.56422,1.0271,0.12751,0.30347,,
-0.3201,1.059,0.56647,1.0225,0.13365,0.30356,,
0.0075571,1.0574,0.80277,1.018,0.13733,0.30362,,
0.063187,1.0556,0.84308,1.013,0.13866,0.3037,,
-0.33105,1.0535,0.39972,1.0076,0.13836,0.30375,,
-0.91878,1.0511,-0.24529,1.0019,0.13706,0.30382,,
-1.1517,1.0485,-0.51165,0.99584,0.13498,0.30386,,
-0.70385,1.0456,-0.20443,0.9894,0.132,0.30388,,
0.15602,1.0424,0.21407,0.98287,0.12811,0.30391,,
0.79022,1.0389,0.15752,0.97617,0.12378,0.30393,,
0.83369,1.0351,-0.33949,0.96907,0.11976,0.30394,,
0.5511,1.031,-0.58915,0.96156,0.1163,0.30396,,
0.48249,1.0266,-0.062131,0.9537,0.11287,0.30394,,
0.77144,1.0219,0.87039,0.94575,0.10904,0.30391,,
0.97907,1.017,1.2046,0.93759,0.10506,0.3039,,
0.63807,1.0117,0.39071,0.92879,0.10184,0.30385,,
-0.10645,1.0061,-0.9497,0.9193,0.099795,0.30381,,
-0.58212,1.0002,-1.5596,0.90977,0.098254,0.30375,,
-0.36332,0.99403,-0.82769,0.90027,0.095934,0.30369,,
0.18218,0.98753,0.57091,0.8903,0.092207,0.30363,,
0.29244,0.98071,1.382,0.87996,0.087735,0.30355,,
-0.24923,0.97358,1.0511,0.86938,0.084096,0.30347,,
-0.7655,0.96613,0.2288,0.85838,0.082098,0.30336,,
-0.43922,0.95837,-0.045779,0.84735,0.081015,0.30324,,
0.63837,0.95028,0.49385,0.83574,0.079621,0.30313,,
1.3914,0.94188,1.1354,0.82346,0.077445,0.30298,,
0.87477,0.93316,1.0671,0.81111,0.075233,0.30285,,
-0.60949,0.92411,0.31185,0.79866,0.074058,0.30271,,
-1.6952,0.91474,-0.34799,0.7858,0.074236,0.30253,,
-1.3285,0.90505,-0.26859,0.77255,0.075095,0.30237,,
0.1333,0.89503,0.37892,0.75891,0.076326,0.30216,,
1.3106,0.88469,0.88137,0.74487,0.078005,0.30195,,
1.253,0.87403,0.78662,0.73063,0.080347,0.30173,,
0.36503,0.86304,0.27327,0.71627,0.084183,0.30152,,
-0.16716,0.85172,-0.22938,0.70157,0.089353,0.30125,,
0.2641,0.84008,-0.58597,0.68662,0.095093,0.301,,
1.0789,0.82812,-0.96273,0.67127,0.10117,0.30073,,
1.2662,0.81583,-1.3799,0.6555,0.1071,0.30045,,
0.56176,0.80322,-1.4974,0.63955,0.11236,0.30016,,
-0.2977,0.79029,-0.99998,0.62357,0.11682,0.29982,,
-0.45086,0.77704,-0.11798,0.60715,0.1203,0.2995,,
0.15495,0.76347,0.43282,0.59035,0.12272,0.29914,,
0.80878,0.74959,0.14259,0.5732,0.12421,0.29877,,
0.88579,0.73538,-0.70662,0.55557,0.12467,0.29837,,
0.44506,0.72087,-1.2725,0.53759,0.12364,0.29796,,
-0.047745,0.70604,-0.99397,0.51953,0.12015,0.29753,,
-0.38186,0.6909,-0.11989,0.50159,0.11371,0.29709,,
-0.75945,0.67545,0.59961,0.48334,0.10496,0.29663,,
-1.3077,0.6597,0.67066,0.4645,0.094526,0.29612,,
-1.6822,0.64365,0.25765,0.44526,0.082697,0.29561,,
-1.3813,0.6273,-0.14005,0.42615,0.070029,0.29507,,
-0.43888,0.61065,-0.2619,0.40674,0.056464,0.29449,,
0.4059,0.59372,-0.22544,0.38689,0.041361,0.29388,,
0.3884,0.57649,-0.19409,0.36698,0.025017,0.29324,,
-0.45947,0.55898,-0.077874,0.34687,0.0081525,0.2926,,
-1.2904,0.5412,0.32193,0.32651,-0.0085832,0.2919,,
-1.2875,0.52313,0.9321,0.30581,-0.024803,0.29117,,
-0.46373,0.5048,1.3223,0.2849,-0.040214,0.29038,,
0.42757,0.4862,1.0804,0.26404,-0.054198,0.28956,,
0.70634,0.46734,0.24479,0.24284,-0.066297,0.2887,,
0.3782,0.44823,-0.69766,0.22134,-0.076421,0.28781,,
-0.054375,0.42886,-1.2416,0.19961,-0.084981,0.28684,,
-0.23007,0.40925,-1.2699,0.17791,-0.092503,0.28583,,
-0.22769,0.38941,-1.0438,0.15643,-0.099074,0.28472,,
-0.2605,0.36933,-0.8699,0.13462,-0.10441,0.28355,,
-0.26653,0.34903,-0.84918,0.11238,-0.10801,0.28231,,
0.034802,0.32851,-0.89443,0.090035,-0.10994,0.28096,,
0.69786,0.30778,-0.89468,0.067809,-0.11081,0.27952,,
1.3152,0.28684,-0.80812,0.04566,-0.11116,0.27797,,
1.3395,0.26571,-0.64191,0.023358,-0.11134,0.27625,,
0.62945,0.24439,-0.4402,0.0010586,-0.11168,0.27436,,
-0.39154,0.22289,-0.30487,-0.021434,-0.11242,0.27227,,
-1.1276,0.20121,-0.3525,-0.044347,-0.1137,0.26991,,
-1.3169,0.17938,-0.57153,-0.067146,-0.11565,0.26726,,
-1.146,0.15738,-0.74793,-0.089784,-0.11837,0.26428,,
-0.9501,0.13524,-0.6266,-0.11263,-0.12198,0.2609,,
-0.89251,0.11296,-0.19603,-0.1358,-0.12646,0.25707,,
-0.92488,0.090555,0.23266,-0.15883,-0.13178,0.25273,,
-0.94489,0.068029,0.30582,-0.18165,-0.13778,0.24781,,
-0.89947,0.045395,0.0005077,-0.20445,-0.14432,0.24228,,
-0.76725,0.022662,-0.3353,-0.22737,-0.1512,0.23605,,
-0.55173,-0.00016011,-0.36194,-0.25032,-0.15835,0.22912,,
-0.34119,-0.02306,-0.12511,-0.27307,-0.16584,0.22141,,
-0.30208,-0.046028,0.017864,-0.29568,-0.17359,0.21287,,
-0.511,-0.069052,-0.14959,-0.31823,-0.18124,0.20353,,
-0.78944,-0.092121,-0.40237,-0.34061,-0.18864,0.19332,,
-0.8041,-0.11522,-0.2989,-0.36284,-0.19569,0.18224,,
-0.41196,-0.13835,0.29835,-0.38521,-0.2024,0.17031,,
0.12343,-0.16149,1.0133,-0.40755,-0.20878,0.15753,,
0.35112,-0.18462,1.317,-0.42956,-0.21442,0.14394,,
0.10335,-0.20775,1.0624,-0.45118,-0.21862,0.12955,,
-0.30974,-0.23084,0.59925,-0.4726,-0.22085,0.11439,,
-0.43817,-0.2539,0.36279,-0.49408,-0.22122,0.098561,,
-0.19965,-0.27691,0.4333,-0.51533,-0.22024,0.082052,,
0.038027,-0.29986,0.54227,-0.53649,-0.21794,0.065035,,
-0.082759,-0.32273,0.46023,-0.55745,-0.21384,0.047561,,
-0.43961,-0.34551,0.24784,-0.57803,-0.20742,0.029685,,
-0.52367,-0.36819,0.074851,-0.5982,-0.19847,0.011545,,
-0.018533,-0.39075,-0.1082,-0.61806,-0.18728,-0.0067798,,
0.79853,-0.41318,-0.55744,-0.63762,-0.17419,-0.025161,,
1.3101,-0.43547,-1.3373,-0.65714,-0.15949,-0.04346,,
1.1915,-0.4576,-2.0406,-0.67623,-0.14375,-0.061584,,
0.71098,-0.47956,-2.0527,-0.6949,-0.12763,-0.079428,,
0.38401,-0.50133,-1.1563,-0.71353,-0.11181,-0.096875,,
0.41158,-0.52291,0.16962,-0.7315,-0.096341,-0.11382,,
0.55017,-0.54427,1.1194,-0.74916,-0.081159,-0.13014,,
0.50177,-0.5654,1.2492,-0.76638,-0.06684,-0.14579,,
0.28765,-0.5863,0.79241,-0.78327,-0.053463,-0.16065,,
0.13507,-0.60693,0.29836,-0.79973,-0.040795,-0.1747,,
0.06236,-0.6273,0.057448,-0.81579,-0.029494,-0.18787,,
-0.24163,-0.64738,-0.041823,-0.83146,-0.020671,-0.20016,,
-1.0132,-0.66716,-0.17861,-0.84631,-0.014192,-0.21147,,
-1.9552,-0.68662,-0.25708,-0.86098,-0.0094633,-0.22185,,
-2.3465,-0.70576,-0.019759,-0.87512,-0.0061357,-0.2313,,
-1.7117,-0.72455,0.53667,-0.88863,-0.0039622,-0.2398,,
-0.35253,-0.74299,1.0007,-0.90193,-0.0028667,-0.24743,,
0.86579,-0.76105,0.90224,-0.91472,-0.0022918,-0.25416,,
1.2802,-0.77872,0.21807,-0.92663,-0.0017461,-0.26005,,
0.95218,-0.796,-0.5623,-0.93799,-0.0011398,-0.26514,,
0.44102,-0.81286,-0.91083,-0.94902,-0.00077388,-0.26952,,
0.1567,-0.82929,-0.77858,-0.95955,-0.0011549,-0.27322,,
0.038509,-0.84527,-0.58689,-0.96919,-0.0023646,-0.27628,,
-0.14854,-0.8608,-0.71505,-0.97837,-0.0039274,-0.27876,,
-0.35839,-0.87585,-1.0711,-0.98705,-0.0053793,-0.28075,,
-0.26189,-0.89042,-1.2051,-0.995,-0.0067876,-0.2823,,
0.29146,-0.90449,-0.83379,-1.0023,-0.0087183,-0.28343,,
0.94345,-0.91805,-0.18382,-1.0088,-0.011465,-0.28421,,
1.0949,-0.93108,0.21525,-1.0147,-0.01499,-0.28474,,
0.52143,-0.94357,0.055451,-1.0202,-0.019274,-0.28502,,
-0.3577,-0.95551,-0.44946,-1.0249,-0.024328,-0.28511,,
-0.88899,-0.96688,-0.78308,-1.0289,-0.030259,-0.28507,,
-0.83914,-0.97768,-0.60761,-1.0321,-0.037255,-0.28491,,
-0.58184,-0.98788,-0.022305,-1.0349,-0.045619,-0.28469,,
-0.62666,-0.99749,0.59025,-1.0371,-0.055033,-0.28445,,
-1.0292,-1.0065,0.90504,-1.0383,-0.065115,-0.28416,,
-1.3354,-1.0148,0.8591,-1.0385,-0.075442,-0.28389,,
-1.1049,-1.0226,0.59581,-1.0381,-0.085293,-0.28365,,
-0.42115,-1.0297,0.29507,-1.0371,-0.094524,-0.28345,,
0.16405,-1.0361,0.07248,-1.0353,-0.1034,-0.28332,,
0.17938,-1.0419,-0.035733,-1.0328,-0.11193,-0.28324,,
-0.31178,-1.0469,-0.061432,-1.0297,-0.11979,-0.28323,,
-0.79756,-1.0513,-0.081443,-1.0257,-0.12654,-0.28326,,
-0.80941,-1.055,-0.1526,-1.0212,-0.13183,-0.28338,,
-0.30866,-1.058,-0.22618,-1.0157,-0.13555,-0.28356,,
0.36057,-1.0603,-0.14781,-1.0096,-0.1378,-0.28382,,
0.81473,-1.0619,0.19108,-1.0026,-0.13867,-0.28412,,
0.90198,-1.0627,0.67857,-0.9946,-0.13824,-0.28445,,
0.70859,-1.0628,0.99672,-0.9861,-0.13627,-0.28486,,
0.40706,-1.0622,0.87819,-0.97712,-0.13249,-0.28528,,
0.13793,-1.0608,0.38134,-0.9671,-0.12681,-0.28576,,
-0.021667,-1.0587,-0.11863,-0.95631,-0.11951,-0.28624,,
-0.066786,-1.0558,-0.26272,-0.94468,-0.11118,-0.28674,,
-0.071688,-1.0522,-0.057036,-0.93239,-0.10216,-0.28722,,
-0.13561,-1.0478,0.12871,-0.91961,-0.092535,-0.28772,,
-0.2609,-1.0426,-0.059934,-0.90563,-0.082064,-0.28822,,
-0.29151,-1.0366,-0.58268,-0.89072,-0.070532,-0.28871,,
-0.039003,-1.0299,-1.0179,-0.87537,-0.058173,-0.28915,,
0.48042,-1.0224,-0.96762,-0.85949,-0.045874,-0.28956,,
0.95873,-1.0142,-0.45417,-0.84307,-0.034383,-0.28998,,
1.02,-1.0052,0.087386,-0.8256,-0.023927,-0.29031,,
0.58296,-0.99535,0.2006,-0.80729,-0.014201,-0.29064,,
-0.01414,-0.98478,-0.19218,-0.78838,-0.0050265,-0.2909,,
-0.30461,-0.97344,-0.74646,-0.76895,0.0033848,-0.29113,,
-0.14275,-0.96133,-1.0148,-0.74902,0.010289,-0.29131,,
0.14712,-0.94846,-0.79523,-0.72789,0.014829,-0.29145,,
0.099346,-0.93484,-0.22633,-0.70602,0.016864,-0.29154,,
-0.40479,-0.92045,0.36904,-0.68393,0.016886,-0.29157,,
-0.98988,-0.90532,0.69968,-0.66111,0.015246,-0.29154,,
-1.1409,-0.88945,0.63604,-0.6376,0.012134,-0.29147,,
-0.7083,-0.87284,0.23682,-0.61355,0.0080117,-0.29135,,
-0.06097,-0.8555,-0.27102,-0.5889,0.0029179,-0.29122,,
0.25213,-0.83744,-0.5712,-0.56386,-0.0035709,-0.29103,,
-0.010268,-0.81867,-0.43443,-0.53828,-0.011509,-0.29075,,
-0.60235,-0.7992,0.094455,-0.51208,-0.02067,-0.29047,,
-1.041,-0.77904,0.67671,-0.48532,-0.030477,-0.29012,,
-1.0031,-0.7582,0.91594,-0.45787,-0.040059,-0.28972,,
-0.51885,-0.73669,0.6891,-0.43007,-0.048822,-0.28927,,
0.12713,-0.71453,0.25659,-0.40199,-0.056501,-0.28879,,
0.6129,-0.69173,0.021498,-0.37326,-0.063283,-0.28827,,
0.72893,-0.66829,0.15688,-0.3441,-0.069446,-0.28772,,
0.43719,-0.64425,0.46178,-0.31464,-0.074921,-0.2871,,
-0.10424,-0.61961,0.59381,-0.28473,-0.079201,-0.28642,,
-0.57038,-0.59439,0.42409,-0.25459,-0.081637,-0.28572,,
-0.62785,-0.56861,0.13461,-0.22419,-0.081958,-0.28496,,
-0.18395,-0.54228,-0.027292,-0.19379,-0.080341,-0.28413,,
0.48505,-0.51543,-0.049107,-0.16295,-0.077161,-0.28327,,
0.91054,-0.48806,-0.15243,-0.13147,-0.072629,-0.28228,,
0.81709,-0.46022,-0.47559,-0.099783,-0.066809,-0.28126,,
0.36791,-0.4319,-0.80217,-0.068105,-0.059676,-0.2802,,
0.0097756,-0.40315,-0.68488,-0.036494,-0.051568,-0.27903,,
0.048,-0.37397,0.098889,-0.0048658,-0.043085,-0.27773,,
0.37084,-0.34439,1.2023,0.026767,-0.034497,-0.27632,,
0.60004,-0.31443,1.8662,0.058654,-0.025529,-0.27479,,
0.49839,-0.28412,1.5122,0.090794,-0.015598,-0.27309,,
0.19449,-0.25349,0.26359,0.123,-0.0045837,-0.27117,,
-0.0088663,-0.22255,-1.0951,0.15488,0.0065872,-0.26899,,
-0.011829,-0.19134,-1.7137,0.1867,0.016973,-0.26649,,
